Date;Close
21/6/2019;52902.88
20/6/2019;52960.8
19/6/2019;52534.39
18/6/2019;52593.97
14/6/2019;52166.68
13/6/2019;52592.43
12/6/2019;52619.43
11/6/2019;52656.33
10/6/2019;52357.04
07/6/2019;51976.89
06/6/2019;50988.44
05/6/2019;50975.72
04/6/2019;50452.38
03/6/2019;50213.46
31/5/2019;49587.47
30/5/2019;49666.85
29/5/2019;49003.06
28/5/2019;48464.67
27/5/2019;48497.1
24/5/2019;48427.67
23/5/2019;48290.13
22/5/2019;49193.9
21/5/2019;49486.29
20/5/2019;49551.15
17/5/2019;50081.18
16/5/2019;50360.28
15/5/2019;49877.1
14/5/2019;50078.01
13/5/2019;50181.4
10/5/2019;50533.59
09/5/2019;50264.2
07/5/2019;51707.15
06/5/2019;52335.69
03/5/2019;53028.35
02/5/2019;52495.4
30/4/2019;52274.03
29/4/2019;52385.68
26/4/2019;52572.04
25/4/2019;52470.36
24/4/2019;52785.57
23/4/2019;53184.19
18/4/2019;52872.78
17/4/2019;52561.43
16/4/2019;52590.28
15/4/2019;51960.68
12/4/2019;52141.52
11/4/2019;51942.03
10/4/2019;52161.05
09/4/2019;51564.09
08/4/2019;51705.98
05/4/2019;51517.73
04/4/2019;51449.27
03/4/2019;51640.7
02/4/2019;50952.08
01/4/2019;50879.64
29/3/2019;50273.93
28/3/2019;49903.31
27/3/2019;49897.32
26/3/2019;49372.21
25/3/2019;49161.53
22/3/2019;49792.42
20/3/2019;49827.56
19/3/2019;50475.11
18/3/2019;50388.59
15/3/2019;49684.03
14/3/2019;49485.03
13/3/2019;49584.85
12/3/2019;49468.43
11/3/2019;49387.31
08/3/2019;49233.13
07/3/2019;49665.55
06/3/2019;49875.04
05/3/2019;49585.66
04/3/2019;49895.02
01/3/2019;49841.27
28/2/2019;49667.1
27/2/2019;49955.05
26/2/2019;49965.89
25/2/2019;49638.42
22/2/2019;49735.69
21/2/2019;49205.36
20/2/2019;49405.41
19/2/2019;48956.53
18/2/2019;49019.56
15/2/2019;48446.14
14/2/2019;48349.82
13/2/2019;48388.5
12/2/2019;47807.06
11/2/2019;47225.04
08/2/2019;47001.79
07/2/2019;47672.55
06/2/2019;48318.53
05/2/2019;47999.09
04/2/2019;47183.39
01/2/2019;47697.78
31/1/2019;47955.98
30/1/2019;47972.18
29/1/2019;48201
28/1/2019;47600.25
25/1/2019;47892.41
24/1/2019;47473.35
23/1/2019;47742.02
22/1/2019;47952.19
21/1/2019;48037.82
18/1/2019;47585.02
17/1/2019;47298.4
16/1/2019;47665.2
15/1/2019;47382.46
14/1/2019;47335.59
11/1/2019;47491.38
10/1/2019;47164.36
09/1/2019;47140.85
08/1/2019;46116.17
07/1/2019;45876.36
04/1/2019;46156.11
03/1/2019;45622.51
02/1/2019;45310.14
31/12/2018;46726.59
28/12/2018;46493.79
27/12/2018;45655.45
24/12/2018;46203.87
21/12/2018;45554.4
20/12/2018;45352.86
19/12/2018;45537.58
18/12/2018;45227.16
14/12/2018;45528.87
13/12/2018;45639
12/12/2018;45603.19
11/12/2018;45234.33
10/12/2018;44417.7
07/12/2018;45005.31
06/12/2018;44778.75
05/12/2018;45674.91
04/12/2018;46164.85
03/12/2018;46052.36
30/11/2018;44656.89
29/11/2018;45703.17
28/11/2018;45799.08
27/11/2018;45224.64
26/11/2018;45545.18
23/11/2018;44535.5
22/11/2018;44996.3
21/11/2018;45132.17
20/11/2018;44843.58
19/11/2018;46188.84
16/11/2018;45851.18
15/11/2018;45929.03
14/11/2018;45805.4
13/11/2018;45833.21
12/11/2018;45928.24
09/11/2018;46897.28
08/11/2018;47638.53
07/11/2018;48295.92
06/11/2018;48124.03
05/11/2018;48537.25
02/11/2018;47943.67
01/11/2018;47256.71
31/10/2018;46141.22
30/10/2018;44534.57
29/10/2018;45109.77
26/10/2018;44651.45
25/10/2018;45416.62
24/10/2018;44669.76
